-2.943564939498901367e+01,1.009000000000000000e+03
-2.844541025161743164e+01,9.990000000000000000e+02
-2.741078257560729980e+01,1.043000000000000000e+03
-2.646580171585083008e+01,9.700000000000000000e+02
-2.543020749092102051e+01,9.960000000000000000e+02
-2.444021511077880859e+01,1.095000000000000000e+03
-2.345068597793579102e+01,1.090000000000000000e+03
-2.246083021163940430e+01,1.135000000000000000e+03
-2.043601489067077637e+01,1.115000000000000000e+03
-1.944583439826965332e+01,1.076000000000000000e+03
-1.845601415634155273e+01,1.110000000000000000e+03
-1.746601414680480957e+01,1.062000000000000000e+03
-1.746601414680480957e+01,9.670000000000000000e+02
-1.643086028099060059e+01,9.820000000000000000e+02
-1.445004105567932129e+01,9.160000000000000000e+02
-1.346085667610168457e+01,9.890000000000000000e+02
-1.246997880935668945e+01,1.056000000000000000e+03
-1.143523383140563965e+01,1.068000000000000000e+03
-1.044482874870300293e+01,1.075000000000000000e+03
-9.455312252044677734e+00,1.115000000000000000e+03
-8.465900421142578125e+00,1.180000000000000000e+03
-7.430716276168823242e+00,1.119000000000000000e+03
-6.395865440368652344e+00,1.113000000000000000e+03
-4.460757732391357422e+00,1.133000000000000000e+03
-3.470752716064453125e+00,1.122000000000000000e+03
-2.434894800186157227e+00,1.110000000000000000e+03
-1.446199655532836914e+00,1.100000000000000000e+03
-4.558424949645996094e-01,1.057000000000000000e+03
5.403635501861572266e-01,1.055000000000000000e+03
1.569326639175415039e+00,1.059000000000000000e+03
2.559908628463745117e+00,1.095000000000000000e+03
3.549322366714477539e+00,1.129000000000000000e+03
4.539298295974731445e+00,1.145000000000000000e+03
5.535757541656494141e+00,1.084000000000000000e+03
7.554140806198120117e+00,1.081000000000000000e+03
7.554140806198120117e+00,1.125000000000000000e+03
8.550299882888793945e+00,1.095000000000000000e+03
9.534265041351318359e+00,9.280000000000000000e+02
1.056845092773437500e+01,9.390000000000000000e+02
1.155927085876464844e+01,9.810000000000000000e+02
1.254926872253417969e+01,9.810000000000000000e+02
1.353915596008300781e+01,9.180000000000000000e+02
1.452855229377746582e+01,1.038000000000000000e+03
1.656017303466796875e+01,1.096000000000000000e+03
1.754374289512634277e+01,9.780000000000000000e+02
1.853421759605407715e+01,1.056000000000000000e+03
1.853421759605407715e+01,1.048000000000000000e+03
2.055915975570678711e+01,9.490000000000000000e+02
2.154917430877685547e+01,1.008000000000000000e+03
2.253883838653564453e+01,1.018000000000000000e+03
2.352883195877075195e+01,9.760000000000000000e+02
2.456388521194458008e+01,1.069000000000000000e+03
2.559867310523986816e+01,1.045000000000000000e+03
2.654415225982666016e+01,9.970000000000000000e+02
2.753403306007385254e+01,1.067000000000000000e+03
2.856907701492309570e+01,1.102000000000000000e+03
2.956535148620605469e+01,9.960000000000000000e+02
3.054928421974182129e+01,1.076000000000000000e+03
